group_id,group_name,faculty_id,description,mission,main_area,interdisciplinary,creation_year,status
GRP-001,Inteligencia Computacional y Sistemas Adaptativos,FAC-001,Investigación aplicada en inteligencia artificial y articulación interdisciplinaria.,Generar y transferir conocimiento en inteligencia artificial.,Inteligencia artificial,True,2011,ACTIVE
GRP-002,Ingeniería de Software y Arquitecturas Digitales,FAC-001,Investigación aplicada en software y articulación interdisciplinaria.,Generar y transferir conocimiento en software.,Software,True,2012,ACTIVE
GRP-003,Internet de las Cosas y Sistemas Embebidos,FAC-001,Investigación aplicada en iot y articulación interdisciplinaria.,Generar y transferir conocimiento en iot.,IoT,True,2013,ACTIVE
GRP-004,Ciberseguridad y Confianza Digital,FAC-001,Investigación aplicada en ciberseguridad y articulación interdisciplinaria.,Generar y transferir conocimiento en ciberseguridad.,Ciberseguridad,True,2014,ACTIVE
GRP-005,Optimización y Sistemas Productivos,FAC-001,Investigación aplicada en optimización y articulación interdisciplinaria.,Generar y transferir conocimiento en optimización.,Optimización,True,2015,ACTIVE
GRP-006,Salud Digital y Telesalud,FAC-002,Investigación aplicada en salud digital y articulación interdisciplinaria.,Generar y transferir conocimiento en salud digital.,Salud digital,True,2016,ACTIVE
GRP-007,Epidemiología y Analítica en Salud,FAC-002,Investigación aplicada en salud pública y datos y articulación interdisciplinaria.,Generar y transferir conocimiento en salud pública y datos.,Salud pública y datos,True,2017,ACTIVE
GRP-008,Seguridad y Salud en el Trabajo,FAC-002,Investigación aplicada en riesgos laborales y articulación interdisciplinaria.,Generar y transferir conocimiento en riesgos laborales.,Riesgos laborales,True,2018,ACTIVE
GRP-009,Innovación y Gestión Organizacional,FAC-003,Investigación aplicada en gestión y articulación interdisciplinaria.,Generar y transferir conocimiento en gestión.,Gestión,True,2019,ACTIVE
GRP-010,Finanzas Computacionales,FAC-003,Investigación aplicada en finanzas cuantitativas y articulación interdisciplinaria.,Generar y transferir conocimiento en finanzas cuantitativas.,Finanzas cuantitativas,True,2020,ACTIVE
GRP-011,Economía Aplicada y Desarrollo Regional,FAC-003,Investigación aplicada en economía regional y articulación interdisciplinaria.,Generar y transferir conocimiento en economía regional.,Economía regional,True,2010,ACTIVE
GRP-012,Analítica del Aprendizaje,FAC-004,Investigación aplicada en learning analytics y articulación interdisciplinaria.,Generar y transferir conocimiento en learning analytics.,Learning analytics,True,2011,ACTIVE
GRP-013,Tecnología Educativa e Innovación Pedagógica,FAC-004,Investigación aplicada en tecnología educativa y articulación interdisciplinaria.,Generar y transferir conocimiento en tecnología educativa.,Tecnología educativa,True,2012,ACTIVE
GRP-014,"Cognición, Comportamiento y Sociedad",FAC-004,Investigación aplicada en psicología y articulación interdisciplinaria.,Generar y transferir conocimiento en psicología.,Psicología,True,2013,ACTIVE
GRP-015,Recursos Hídricos y Sostenibilidad,FAC-005,Investigación aplicada en agua y sostenibilidad y articulación interdisciplinaria.,Generar y transferir conocimiento en agua y sostenibilidad.,Agua y sostenibilidad,True,2014,ACTIVE
GRP-016,Cambio Climático y Territorio,FAC-005,Investigación aplicada en cambio climático y articulación interdisciplinaria.,Generar y transferir conocimiento en cambio climático.,Cambio climático,True,2015,ACTIVE
GRP-017,Infraestructura Inteligente y Ciudades,FAC-005,Investigación aplicada en infraestructura inteligente y articulación interdisciplinaria.,Generar y transferir conocimiento en infraestructura inteligente.,Infraestructura inteligente,True,2016,ACTIVE
GRP-018,Modelamiento Matemático,FAC-006,Investigación aplicada en matemáticas aplicadas y articulación interdisciplinaria.,Generar y transferir conocimiento en matemáticas aplicadas.,Matemáticas aplicadas,True,2017,ACTIVE
GRP-019,Física Aplicada e Instrumentación,FAC-006,Investigación aplicada en física e instrumentación y articulación interdisciplinaria.,Generar y transferir conocimiento en física e instrumentación.,Física e instrumentación,True,2018,ACTIVE
GRP-020,Ciencia de Datos e Inteligencia Analítica,FAC-006,Investigación aplicada en ciencia de datos y articulación interdisciplinaria.,Generar y transferir conocimiento en ciencia de datos.,Ciencia de datos,True,2019,ACTIVE
GRP-021,Procesamiento de Lenguaje y Conocimiento,FAC-006,Investigación aplicada en nlp y conocimiento y articulación interdisciplinaria.,Generar y transferir conocimiento en nlp y conocimiento.,NLP y conocimiento,True,2020,ACTIVE
GRP-022,Innovación Social y Desarrollo Territorial,,Investigación aplicada en innovación social y articulación interdisciplinaria.,Generar y transferir conocimiento en innovación social.,Innovación social,True,2010,ACTIVE
GRP-023,Bioingeniería y Tecnologías Biomédicas,,Investigación aplicada en bioingeniería y articulación interdisciplinaria.,Generar y transferir conocimiento en bioingeniería.,Bioingeniería,True,2011,ACTIVE
GRP-024,"Energía, Sostenibilidad y Sistemas Inteligentes",,Investigación aplicada en energía y articulación interdisciplinaria.,Generar y transferir conocimiento en energía.,Energía,True,2012,ACTIVE
