need_id,title,description,originating_unit,context,expected_impact,priority,year,status
NEED-001,Predicción y prevención de deserción estudiantil,"La institución requiere fortalecer su capacidad para abordar predicción y prevención de deserción estudiantil mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de permanencia estudiantil, riesgo académico y trayectorias educativas, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-004,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con permanencia estudiantil.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",HIGH,2026,OPEN
NEED-002,Personalización del aprendizaje,"La institución requiere fortalecer su capacidad para abordar personalización del aprendizaje mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de aprendizaje adaptativo, personalización y secuencias de aprendizaje, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-004,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con aprendizaje adaptativo.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-003,Evaluación automática de competencias,"La institución requiere fortalecer su capacidad para abordar evaluación automática de competencias mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de competencias, evidencias de aprendizaje y evaluación formativa, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-004,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con competencias.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-004,Detección de antecedentes y duplicidad de trabajos de grado,"La institución requiere fortalecer su capacidad para abordar detección de antecedentes y duplicidad de trabajos de grado mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de antecedentes investigativos, similitud conceptual y trabajos de grado, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-006,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con antecedentes investigativos.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-005,Monitoreo remoto cardiovascular,"La institución requiere fortalecer su capacidad para abordar monitoreo remoto cardiovascular mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de monitoreo cardiovascular, ECG y wearables, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-002,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con monitoreo cardiovascular.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",HIGH,2026,OPEN
NEED-006,Predicción epidemiológica,"La institución requiere fortalecer su capacidad para abordar predicción epidemiológica mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de epidemiología, enfermedades respiratorias y vigilancia poblacional, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-002,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con epidemiología.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-007,Seguridad de información clínica,"La institución requiere fortalecer su capacidad para abordar seguridad de información clínica mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de historias clínicas, privacidad y interoperabilidad, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-002,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con historias clínicas.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-008,Prevención inteligente de riesgos laborales,"La institución requiere fortalecer su capacidad para abordar prevención inteligente de riesgos laborales mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de exposición ocupacional, riesgo térmico y ergonomía, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-002,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con exposición ocupacional.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
NEED-009,Monitoreo inteligente de calidad del agua,"La institución requiere fortalecer su capacidad para abordar monitoreo inteligente de calidad del agua mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de calidad del agua, variables fisicoquímicas y cuencas, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-005,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con calidad del agua.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",HIGH,2026,OPEN
NEED-010,Predicción de riesgo climático territorial,"La institución requiere fortalecer su capacidad para abordar predicción de riesgo climático territorial mediante el aprovechamiento articulado de información, conocimiento previo y capacidades existentes. El problema se expresa en términos de riesgo climático, eventos extremos y territorio, sin prescribir una solución tecnológica específica.",Unidad asociada a FAC-005,Necesidad institucional identificada para mejorar decisiones y articular capacidades relacionadas con riesgo climático.,"Mayor capacidad institucional, trazabilidad de decisiones y generación de oportunidades interdisciplinarias.",MEDIUM,2026,OPEN
