researcher_id,full_name,faculty_id,primary_program_id,academic_background,profile_summary,research_interests,methodological_expertise,application_domains,years_experience,active
INV-001,Daniel Moreno Valencia,FAC-001,PRG-002,PhD en área afín a optimización; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en optimización y procesamiento de señales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; procesamiento de señales,clasificación supervisada; modelos probabilísticos,procesamiento de señales; ciberseguridad,7,True
INV-002,Paula Cárdenas Torres,FAC-001,PRG-003,PhD en área afín a IoT; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en IoT y arquitecturas digitales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",IoT; arquitecturas digitales,diseño experimental; optimización,arquitecturas digitales; optimización,10,True
INV-003,Mateo López Navarro,FAC-001,PRG-001,MSc en área afín a aprendizaje automático; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en aprendizaje automático y ciberseguridad, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",aprendizaje automático; ciberseguridad,modelos probabilísticos; series temporales,ciberseguridad; procesamiento de señales,13,True
INV-004,Adriana Mendoza Moreno,FAC-001,PRG-001,PhD en área afín a optimización; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en optimización y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; aprendizaje automático,optimización; modelos probabilísticos,aprendizaje automático; aprendizaje automático,16,True
INV-005,Andrés Acosta Montoya,FAC-001,PRG-001,MSc en área afín a arquitecturas digitales; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en arquitecturas digitales y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",arquitecturas digitales; aprendizaje automático,simulación; recuperación de información,aprendizaje automático; arquitecturas digitales,19,True
INV-006,Valentina Ramírez Cardona,FAC-001,PRG-002,PhD en área afín a arquitecturas digitales; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en arquitecturas digitales y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",arquitecturas digitales; aprendizaje automático,diseño experimental; modelamiento estadístico,aprendizaje automático; IoT,4,True
INV-007,Alejandro Salazar Martínez,FAC-001,PRG-002,PhD en área afín a procesamiento de señales; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en procesamiento de señales y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales; aprendizaje automático,simulación; procesamiento de señales,aprendizaje automático; ciberseguridad,7,True
INV-008,Mónica Montoya Mejía,FAC-001,PRG-003,MSc en área afín a aprendizaje automático; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en aprendizaje automático y arquitecturas digitales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",aprendizaje automático; arquitecturas digitales,simulación; diseño experimental,arquitecturas digitales; optimización,10,True
INV-009,Juan Castro Ramírez,FAC-001,PRG-002,PhD en área afín a procesamiento de señales; formación profesional relacionada con Ingeniería Electrónica.,"Investigador con experiencia en procesamiento de señales y aprendizaje automático, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",procesamiento de señales; aprendizaje automático,diseño experimental; procesamiento de señales,aprendizaje automático; procesamiento de señales,13,True
INV-010,Natalia Valencia Suárez,FAC-001,PRG-001,MSc en área afín a optimización; formación profesional relacionada con Ingeniería de Sistemas.,"Investigador con experiencia en optimización y arquitecturas digitales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",optimización; arquitecturas digitales,procesamiento de señales; análisis causal,arquitecturas digitales; aprendizaje automático,16,True
INV-011,Miguel Rodríguez Rojas,FAC-001,PRG-003,PhD en área afín a ciberseguridad; formación profesional relacionada con Ingeniería Industrial.,"Investigador con experiencia en ciberseguridad y procesamiento de señales, orientada a resolver problemas aplicados mediante enfoques interdisciplinarios.",ciberseguridad; procesamiento de señales,análisis causal; series temporales,procesamiento de señales; arquitecturas digitales,19,True
